team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,position,year
MANCHESTER UNITED,38,28,7,3,97,45,52,91,1,2000
MANCHESTER UNITED,38,24,8,6,79,31,48,80,1,2001
MANCHESTER UNITED,38,24,5,9,87,45,42,77,3,2002
MANCHESTER UNITED,38,25,8,5,74,34,40,83,1,2003
MANCHESTER UNITED,38,23,6,9,64,35,29,75,3,2004
MANCHESTER UNITED,38,22,11,5,58,26,32,77,3,2005
MANCHESTER UNITED,38,25,8,5,72,34,38,83,2,2006
MANCHESTER UNITED,38,28,5,5,83,27,56,89,1,2007
MANCHESTER UNITED,38,27,6,5,80,22,58,87,1,2008
MANCHESTER UNITED,38,28,6,4,68,24,44,90,1,2009
MANCHESTER UNITED,38,27,4,7,86,28,58,85,2,2010
MANCHESTER UNITED,38,23,11,4,78,37,41,80,1,2011
MANCHESTER UNITED,38,28,5,5,89,33,56,89,2,2012
MANCHESTER UNITED,38,28,5,5,86,43,43,89,1,2013
MANCHESTER UNITED,38,19,7,12,64,43,21,64,7,2014
MANCHESTER UNITED,38,20,10,8,62,37,25,70,4,2015
MANCHESTER UNITED,38,19,9,10,49,35,14,66,5,2016
MANCHESTER UNITED,38,18,15,5,54,29,25,69,6,2017
MANCHESTER UNITED,38,25,6,7,68,28,40,81,2,2018
MANCHESTER CITY,38,8,10,20,41,65,-24,34,18,2001
MANCHESTER CITY,38,15,6,17,47,54,-7,51,9,2003
MANCHESTER CITY,38,9,14,15,55,54,1,41,16,2004
MANCHESTER CITY,38,13,13,12,47,39,8,52,8,2005
MANCHESTER CITY,38,13,4,21,43,48,-5,43,15,2006
MANCHESTER CITY,38,11,9,18,29,44,-15,42,14,2007
MANCHESTER CITY,38,15,10,13,45,53,-8,55,9,2008
MANCHESTER CITY,38,15,5,18,58,50,8,50,10,2009
MANCHESTER CITY,38,18,13,7,73,45,28,67,5,2010
MANCHESTER CITY,38,21,8,9,60,33,27,71,3,2011
MANCHESTER CITY,38,28,5,5,93,29,64,89,1,2012
MANCHESTER CITY,38,23,9,6,66,34,32,78,2,2013
MANCHESTER CITY,38,27,5,6,102,37,65,86,1,2014
MANCHESTER CITY,38,24,7,7,83,38,45,79,2,2015
MANCHESTER CITY,38,19,9,10,71,41,30,66,4,2016
MANCHESTER CITY,38,23,9,6,80,39,41,78,3,2017
MANCHESTER CITY,38,32,4,2,106,27,79,100,1,2018
CHELSEA,38,18,11,9,53,34,19,65,5,2000
CHELSEA,38,17,10,11,68,45,23,61,6,2001
CHELSEA,38,17,13,8,66,38,28,64,6,2002
CHELSEA,38,19,10,9,68,38,30,67,4,2003
CHELSEA,38,24,7,7,67,30,37,79,2,2004
CHELSEA,38,29,8,1,72,15,57,95,1,2005
CHELSEA,38,29,4,5,72,22,50,91,1,2006
CHELSEA,38,24,11,3,64,24,40,83,2,2007
CHELSEA,38,25,10,3,65,26,39,85,2,2008
CHELSEA,38,25,8,5,68,24,44,83,3,2009
CHELSEA,38,27,5,6,103,32,71,86,1,2010
CHELSEA,38,21,8,9,69,33,36,71,2,2011
CHELSEA,38,18,10,10,65,46,19,64,6,2012
CHELSEA,38,22,9,7,75,39,36,75,3,2013
CHELSEA,38,25,7,6,71,27,44,82,3,2014
CHELSEA,38,26,9,3,73,32,41,87,1,2015
CHELSEA,38,12,14,12,59,53,6,50,10,2016
CHELSEA,38,30,3,5,85,33,52,93,1,2017
CHELSEA,38,21,7,10,62,38,24,70,5,2018
ARSENAL,38,22,7,9,73,43,30,73,2,2000
ARSENAL,38,20,10,8,63,38,25,70,2,2001
ARSENAL,38,26,9,3,79,36,43,87,1,2002
ARSENAL,38,23,9,6,85,42,43,78,2,2003
ARSENAL,38,26,12,0,73,26,47,90,1,2004
ARSENAL,38,25,8,5,87,36,51,83,2,2005
ARSENAL,38,20,7,11,68,31,37,67,4,2006
ARSENAL,38,19,11,8,63,35,28,68,4,2007
ARSENAL,38,24,11,3,74,31,43,83,3,2008
ARSENAL,38,20,12,6,68,37,31,72,4,2009
ARSENAL,38,23,6,9,83,41,42,75,3,2010
ARSENAL,38,19,11,8,72,43,29,68,4,2011
ARSENAL,38,21,7,10,74,49,25,70,3,2012
ARSENAL,38,21,10,7,72,37,35,73,4,2013
ARSENAL,38,24,7,7,68,41,27,79,4,2014
ARSENAL,38,22,9,7,71,36,35,75,3,2015
ARSENAL,38,20,11,7,65,36,29,71,2,2016
ARSENAL,38,23,6,9,77,44,33,75,5,2017
ARSENAL,38,19,6,13,74,51,23,63,6,2018
TOTTENHAM HOTSPUR,38,15,8,15,57,49,8,53,10,2000
TOTTENHAM HOTSPUR,38,13,10,15,47,54,-7,49,12,2001
